Image,FPS_RadialSum,FPS_AngularSum,Label
10_1.jpg,178858.36982998726,33037.99261666244,dry
10_10.jpg,170368.56789818115,33775.057610419564,dry
10_11.jpg,169063.90858909787,33338.98171448686,dry
10_12.jpg,167406.80623516114,37357.40991155239,dry
10_13.jpg,170609.6354658689,33208.54701959039,dry
10_14.jpg,172556.74827943658,35907.50374596745,dry
10_15.jpg,175043.4037031567,34047.10468638348,dry
10_16.jpg,177349.0362309301,33434.80798084055,dry
10_17.jpg,178571.56113343322,31011.40559083678,dry
10_18.jpg,176531.2897255709,31115.09598694681,dry
10_19.jpg,178278.97987345565,37723.79758218745,dry
10_2.jpg,173422.54787314695,34946.360943877306,dry
10_20.jpg,176258.3360347424,33063.69398281907,dry
10_21.jpg,173107.72995202284,32990.740199258005,dry
10_22.jpg,166136.34540370526,35594.55190589366,dry
10_23.jpg,167679.50245513642,33290.6410672303,dry
10_24.jpg,170919.59691336786,32692.802456196325,dry
10_25.jpg,170413.0025358575,35579.70043648138,dry
10_26.jpg,179074.9701282178,38795.243211516805,dry
10_27.jpg,175216.85244078282,33184.93433185094,dry
10_28.jpg,172520.57015640516,31431.84339242688,dry
10_29.jpg,171138.82336823503,35665.37822311405,dry
10_3.jpg,167878.73696196408,34580.066216980274,dry
10_30.jpg,179036.74285046686,36777.35738451407,dry
10_31.jpg,174956.4527172359,34900.811730121095,dry
10_32.jpg,174025.54115748123,36243.40910186377,dry
10_33.jpg,180060.23122215673,36842.7206523341,dry
10_34.jpg,171552.30792243895,35140.385254863766,dry
10_35.jpg,173788.0599040579,33434.75516600379,dry
10_36.jpg,169262.94342077672,38502.81518791119,dry
10_37.jpg,167262.43636045294,37102.158448954935,dry
10_38.jpg,175063.87944107858,41101.234214919015,dry
10_39.jpg,170729.17600690585,35208.46468419417,dry
10_4.jpg,172048.7295548697,35460.79163270712,dry
10_40.jpg,170185.43804518058,32957.05772306191,dry
10_41.jpg,175482.74902431786,33632.02273745171,dry
10_42.jpg,171783.89603502234,31087.338276364797,dry
10_43.jpg,169574.29851129462,32647.688686637983,dry
10_44.jpg,169491.76210684245,32563.836391988545,dry
10_45.jpg,172583.5569390754,31237.297893201998,dry
10_46.jpg,179579.66287953733,34745.96135058427,dry
10_47.jpg,169173.95210982877,33523.62668767643,dry
10_48.jpg,175808.3692971876,31588.048528060594,dry
10_49.jpg,163993.34208283096,36651.781500144316,dry
10_5.jpg,170880.24498469464,33188.00709700329,dry
10_50.jpg,176253.4731840363,35140.41021887395,dry
10_51.jpg,176059.8713057827,30944.49809899398,dry
10_52.jpg,171284.31571318873,34612.08336764618,dry
10_53.jpg,176224.89636525346,37853.51777617387,dry
10_54.jpg,175369.3342171717,36662.252601939166,dry
10_55.jpg,174881.5465561412,40005.559391014955,dry
10_56.jpg,170298.67022788574,36603.55849634443,dry
10_57.jpg,166193.67644487173,34596.79787541181,dry
10_58.jpg,171391.66367522188,36028.7488252073,dry
10_59.jpg,166219.52166079488,33738.44655167158,dry
10_6.jpg,171892.62352832005,33004.66821800355,dry
10_60.jpg,173569.46183961575,37147.6910865132,dry
10_61.jpg,173228.25692686264,34340.80222830892,dry
10_62.jpg,174854.3204771565,33752.69663280693,dry
10_63.jpg,177010.6064835221,36093.53169615688,dry
10_64.jpg,176752.13665179588,32053.450660102568,dry
10_65.jpg,165917.3736804316,33699.49886327945,dry
10_66.jpg,171848.70995308814,33908.51496932865,dry
10_67.jpg,175619.70947742157,35354.20998764495,dry
10_68.jpg,175759.75716652418,38009.97829164544,dry
10_69.jpg,174803.64587013653,33219.79849030238,dry
10_7.jpg,172798.2611069511,34563.06162895103,dry
10_70.jpg,172721.38262919558,32228.586190508147,dry
10_71.jpg,173296.33725989403,31205.78266216688,dry
